Date,Open,High,Low,Close,Volume,Change
2020-12-14,44095,44095,42972,43019,1278910,-0.09877655340009217
2020-12-15,43197,43512,42120,42301,1042882,-0.030838316493687956
2020-12-16,42433,42658,42075,42121,824948,-0.04770409893513594
2020-12-17,41985,42838,41940,42032,822507,-0.049716262349935536
2020-12-18,42121,42300,41313,41448,1349796,-0.06196532838455615
2020-12-21,41401,44184,40548,41582,2456630,-0.033403844812757155
2020-12-22,42971,43331,40771,40818,1677916,-0.035058272854069594
2020-12-23,40860,41400,40187,40324,1558591,-0.04266280477671469
2020-12-24,41221,41311,39919,40010,1728648,-0.04810620479634564
2020-12-28,40099,40907,39111,39203,3847707,-0.05416425400501834
2020-12-29,40681,41400,40097,41042,2003280,-0.0129863883411091
2020-12-30,41672,41850,40818,41538,1173458,0.017639276789651603
2021-01-04,43509,43509,41847,41895,1361400,0.0389594286281123
2021-01-05,41535,47461,41130,47464,3025663,0.18630342414396406
2021-01-06,44453,45577,43332,43602,4037514,0.11221080019386265
2021-01-07,43377,43737,42075,43558,1929951,0.061303055406656703
2021-01-08,44005,45667,43197,43962,2711182,0.05835620395782182
2021-01-11,44230,44230,42165,42301,1682213,0.009690893901420194
2021-01-12,41894,42928,41849,42211,883413,-0.11067335243553011
2021-01-13,42612,42792,41984,41986,891342,-0.037062520067886795
2021-01-14,41984,43692,41581,42166,1680300,-0.031957390146471365
2021-01-15,41983,42343,41175,41177,1034616,-0.06335016605249988
2021-01-18,40681,41356,40367,40863,955031,-0.03399446821588137
2021-01-19,40456,41624,40412,40953,771333,-0.02980265807490934
2021-01-20,40860,42163,40726,41806,1016236,-0.004287143333492116
2021-01-21,42208,42388,41175,41177,739395,-0.02345491628326135
2021-01-22,41131,41131,40593,40729,720508,-0.010879860116084217
2021-01-25,40502,41312,40414,40684,654062,-0.004380490908646006
2021-01-26,40772,41714,40548,40639,1061253,-0.007667325959026194
2021-01-27,40771,40906,40457,40459,727966,-0.0322202554657226
2021-01-28,40053,40772,39829,40010,981888,-0.028341064186317655
2021-01-29,40368,42299,40009,40415,1942195,-0.007709494463404409
2021-02-01,41984,44274,41312,43334,5836825,0.06513617146789885
2021-02-02,43286,43736,42119,42570,1823985,0.04751593297079171
2021-02-03,42344,43960,41401,42839,3100883,0.05882498331644381
2021-02-04,42927,43017,41491,41582,983388,0.03929017745563601
2021-02-05,41803,42029,41040,41087,746021,0.01662748979339357
2021-02-08,40950,41669,40950,40953,528375,-0.05494530853371482
2021-02-09,40862,42075,40862,41223,755613,-0.03164200140944329
2021-02-10,41085,41445,40995,41177,480139,-0.038796423819416836
2021-02-15,41040,41400,40815,41042,637708,-0.0129863883411091
2021-02-16,41039,41174,28736,29861,60858642,-0.2732251076982988
2021-02-17,29232,31881,27481,28066,15740648,-0.31467780138207213
2021-02-18,28063,28961,26850,27211,8412158,-0.3399073332848167
2021-02-19,28019,31791,27390,30894,13068464,-0.24972678922699565
2021-02-22,32285,32958,30982,31388,4928323,-0.23522245504605044
2021-02-23,30354,30892,29142,29233,2550837,-0.02103077592846858
2021-02-24,29143,29951,28156,28156,2211555,0.003206727000641285
2021-02-25,28601,28736,27434,28334,1870292,0.041270074602183016
2021-02-26,33721,33856,29814,30804,7740072,-0.0029131870266071447
2021-03-02,31657,32644,31207,32287,2628142,0.02864151905186696
2021-03-03,32284,32868,31341,32106,1268216,0.09827934183970166
2021-03-04,32057,34528,31790,33678,2878787,0.19612160818298063
2021-03-05,33541,36505,33137,35923,3329519,0.26784075668807783
2021-03-08,36507,36865,32869,34083,2486568,0.10644721464744844
2021-03-09,33227,34888,32868,34217,1346620,0.05977638058661383
2021-03-10,35741,37942,34798,36821,3255325,0.14685728524263375
2021-03-11,36598,37137,35923,36374,1491475,0.08005225963537033
2021-03-12,36057,36820,34890,34936,2757206,-0.027475433566238938
2021-03-15,35741,38208,35114,35698,1464080,0.047384326497080576
2021-03-16,36325,36325,35248,36102,482332,0.05508957535727865
2021-03-17,36461,38928,35967,37897,1209240,0.029222454577550794
2021-03-18,38297,41571,38074,40721,1338630,0.11950844009457295
2021-03-19,39644,42379,39375,39645,967979,0.13478932905885044
2021-03-22,39779,40408,38658,38883,600014,0.08922068463219235
2021-03-23,38658,39285,37671,37672,613318,0.04348789540745668
2021-03-24,37940,38477,36998,37403,507909,-0.01303533261208012
2021-03-25,36906,37356,36325,36864,455722,-0.09471771321922351
2021-03-26,36818,37669,36683,36864,462938,-0.07014755959137342
2021-03-29,36861,36861,35875,36057,421560,-0.0726795771931178
2021-03-30,36504,37895,35293,35878,762425,-0.04762157570609471
2021-03-31,35786,35965,35159,35160,494935,-0.059968451728470984
