date,title,user,views,recommends,unrecommends
2022-10-26 23:55:00,나스닥 봐라,"
				joos****
			",577,2,5
2022-10-27 01:03:00,나스닥 봐라,"
				seok****
			",255,0,0
2022-10-26 23:11:00,기훈티비 ,"
				anso****
			",306,29,1
2022-10-26 23:06:00,성공적이네~~,"
				jhj6****
			",260,1,0
2022-10-26 22:58:00,제약하기전에 호푸집 주인놈아~,"
				daeh****
			",230,9,0
2022-10-26 22:57:00,쉿!! 폭풍전야 ,"
				ms******
			",245,3,6
2022-10-26 22:13:00,레쓰끼리롱입니다 ,"
				odan****
			",145,0,1
2022-10-27 02:58:00,레쓰끼리롱입니다 ,"
				kis1****
			",132,2,0
2022-10-26 22:08:00,머하냐..안내려오고~,"
				firs****
			",187,1,0
2022-10-26 22:07:00,잠시 후 발표,"
				jkim****
			",196,0,0
2022-10-26 21:34:00,큰일났다..,"
				ojs4****
			",372,3,0
2022-10-26 20:50:00,쉿!! 최소 거래량!! 곧 큰 거 터진다!!,"
				ms******
			",276,1,8
2022-10-26 20:35:00,낼 모레 이틀사이 발표? 확률 10퍼 본다,"
				cyju****
			",670,12,6
2022-10-26 21:25:00,낼 모레 이틀사이 발표? 확률 10퍼 본다,"
				alph****
			",120,1,0
2022-10-26 20:17:00,작년 이맘때다 베트남백신으로 주가올린게,"
				kang****
			",285,4,2
2022-10-26 19:21:00,선낭암  부작용 어쩔?,"
				hlbt****
			",551,5,9
2022-10-26 18:49:00,"목, 금에 주가로 엘비 운명이 나뉜다.","
				seok****
			",561,7,4
2022-10-26 18:40:00,내일은,"
				gkdl****
			",676,10,14
2022-10-26 21:32:00,사기꾼 노마,"
				kds9****
			",78,0,0
2022-10-26 20:22:00,[삭제된 게시물의 답글]이 도라이 ㅅㅋ야 고마 싸질러라,"
				cyju****
			",91,2,1
2022-10-26 18:29:00,신주인수권 가격,"
				zooe****
			",509,1,2
2022-10-26 18:18:00,쉿!! 신주인수권 가격 말해준다!!,"
				ms******
			",451,0,4
2022-10-26 17:55:00,드뎌 발표발표~~~,"
				jhj6****
			",311,1,1
2022-10-26 17:45:00,3일간 들어온 외인 기관,"
				aiii****
			",582,2,2
2022-10-26 17:17:00,3년 간 크게 올라간다고 말하던 사람,"
				youn****
			",278,5,0
2022-10-26 17:10:00,어차피 최고점은 넘을거라 마음은 푸근,"
				kmpk****
			",287,5,4
2022-10-26 18:19:00,[삭제된 게시물의 답글]리보세라닙낼부터,"
				phg5****
			",100,0,0
2022-10-26 17:05:00,대통령 소통 화합 선언!,"
				jhj6****
			",195,4,2
