date,post_count,views_sum,net_recommends_sum,views_avg,net_recommends_avg,views_log_growth_5,net_recommends_log_growth_5,post_count_log_growth_5,views_log_growth_10,net_recommends_log_growth_10,post_count_log_growth_10,views_log_growth_20,net_recommends_log_growth_20,post_count_log_growth_20,label_1_ratio,Date,Open,High,Low,Close,Volume,Change,EMA5,EMA20,MACD,Signal,RSI,Bollenger_high,Bollenger_low
2020-09-01,685,137502.0,1562.0,137502.0,1598.0,0.4797879253895887,0.2625520167601852,0.3268833210743028,1.2920439007677142,0.966333244360053,1.8754584881047016,-0.3823246011181976,-0.3278530415840923,-0.6414696402502801,0.2846715328467153,2020-09-01,40861,42075,40143,40549,2304816,-0.0076842131023174,39891.05272034975,39590.42116892714,70.43349695036886,-91.79601557130506,52.59027260051379,43583.73840044567,34729.96159955433
2020-09-02,1777,341804.0,3208.0,341804.0,3244.0,1.5526114527979245,1.5478708176439986,1.3579984372604466,2.2550054885537545,1.927583429649748,2.8005506010304315,-0.6698126478891929,-0.4148740545916749,-0.727714426950123,0.2875633089476646,2020-09-02,41536,49888,40996,44366,18313866,0.1138560417765057,41382.7018135665,40045.23820045789,436.28850029216846,13.820887601389645,61.2291387181114,44378.12946729639,34672.17053270362
2020-09-03,767,170554.0,2224.0,170554.0,2260.0,1.7423312524872363,1.9210017168892688,2.0886099097667152,0.2799607479883658,0.792625326314705,0.3127658958445599,-0.956986541386851,-0.3043564385941504,-1.1098483619350357,0.2972620599739243,2020-09-03,45308,45936,43601,45624,2996940,0.1558866002888197,42796.467875711,40576.54884803333,818.3083633059214,174.718382742296,63.58430233988852,45382.95271113877,34394.94728886122
2020-09-04,606,142396.0,1820.0,142396.0,1856.0,1.4346070977720042,1.0400181244020568,1.7340511516074084,0.5626084070910307,0.914137878513054,0.2605507284004171,0.0245985132508934,0.5015298828925095,0.5662383286959161,0.3069306930693069,2020-09-04,44095,45577,44051,45085,2137674,0.1344706977680481,43559.31191714067,41005.92514822064,1065.2890723531018,352.8325206644572,61.85068610751831,46107.62530752764,34370.87469247236
2020-09-07,2083,423958.0,4331.0,423958.0,4367.0,0.2153969203585945,0.2972691382502574,0.1588826131063206,1.768008373156519,1.845139955894256,1.5168810503667671,0.7611754622494326,1.085418284711641,0.7110696753093455,0.3082093134901584,2020-09-07,45127,53885,45127,49081,12393920,0.2591974960233978,45399.87461142712,41774.97989600915,1565.4216612378875,595.3503487791434,68.67056954352994,47686.28055670173,33959.71944329827
2020-09-08,1007,195455.0,2315.0,195455.0,2351.0,0.1362782117797158,0.039475956273738,0.272244091351306,1.878609464266952,1.9604776731630067,2.360854001118021,-0.0666260161757698,0.2720666464793577,0.0540672212702757,0.2800397219463754,2020-09-08,50022,50606,46924,46926,2806447,0.1572665170534415,45908.58307428475,42265.55323924637,1767.5150381563144,829.7832866545776,62.211534885356926,48384.92829486937,34316.271705130624
2020-09-09,733,159354.0,2010.0,159354.0,2046.0,0.1125162338293701,0.0974630331654258,0.190265715817337,1.5471233316013746,1.1374811575674828,1.9243168674247453,0.2927360092289247,0.963066796671886,0.2170231649868864,0.3369713506139154,2020-09-09,45847,49393,45354,47151,2694022,0.0627732948654375,46322.72204952317,42730.83388312767,1923.6564014040125,1048.5579096044646,62.60699911979383,48971.92509135032,34802.57490864968
2020-09-10,494,123200.0,1439.0,123200.0,1475.0,0.6621236842641711,0.5406443467896648,1.2752818320307178,-0.0418163052242933,0.1679173230938837,-0.1570383514844549,0.3993515289798848,0.624380323312853,0.2863334545804873,0.2935222672064777,2020-09-10,47373,47778,46743,47061,1122690,0.0314965807469753,46568.81469968212,43143.230656163134,2016.8878808555744,1242.2239038546868,62.32602774050723,49226.0064233535,35720.593576646505
2020-09-11,552,113878.0,928.0,113878.0,964.0,0.6369903394484907,-0.2780403039468609,1.5428634218114303,-0.1885107625460997,-0.5054168317156743,-0.2158707919851299,1.1035331382216145,0.4609164126443786,1.659587696119572,0.2735507246376811,2020-09-11,47106,47285,45937,46343,1115623,0.0279028501718974,46493.54313312141,43447.97059367141,2009.6716567124315,1395.7134544262358,60.01212644323233,49290.13351054783,35697.06648945217
2020-09-14,804,229069.0,3714.0,229069.0,3750.0,0.3628951256880761,0.6058691724528846,0.0924535672923148,0.4754113595174462,0.7033322056183107,0.2827192831096519,1.038019766608477,1.6174700841313645,0.543270011510069,0.3718905472636816,2020-09-14,47104,48991,46341,48857,1754562,-0.0045638841914386,47281.36208874761,43963.11625141699,2181.662687293021,1552.903300999593,64.92264871823747,50170.005607113024,35688.39439288697
2020-09-15,835,192356.0,2509.0,192356.0,2545.0,0.4455387707498986,0.545472660210703,0.5248962076629329,1.1076624550140697,1.0861170070003676,1.8001780396936506,0.9012169298509908,1.2033181398181023,0.4229829224288743,0.3233532934131736,2020-09-15,49619,50291,48585,49441,1817214,0.0535950219494523,48001.241392498414,44484.81946556775,2338.138136468202,1709.950268093315,65.96813276603413,50936.3950045591,36026.8049954409
2020-09-16,880,200244.0,1979.0,200244.0,2015.0,0.5644089230434786,0.7372831797702378,0.4663738611951568,1.2013992624919692,0.4592428758233768,2.009237283006587,0.8556860858869675,0.4944183648147485,0.5773863902843296,0.3204545454545454,2020-09-16,49754,52987,49170,50474,3670945,0.0704757057114378,48825.49426166561,45055.21761170415,2516.491971161377,1871.258608706928,67.7965096477275,51897.57121738287,36044.628782617125
2020-09-17,860,194286.0,2189.0,194286.0,2225.0,1.144069635405116,0.5742162397042723,1.726494467855118,-0.7803030934598164,-0.6743193588852204,-0.8846320520134187,0.9877052796967026,1.1708205970090355,0.6322489983533487,0.2837209302325581,2020-09-17,51056,52987,50383,52540,2864941,0.1164233654193493,50063.66284111041,45768.0540296371,2792.3590271613066,2055.478692397804,71.13648898821708,53082.10775798444,36184.99224201557
2020-09-18,1064,229245.0,2622.0,229245.0,2658.0,1.0222839587204409,0.7206088605013331,1.5317113609783943,0.1594611267458802,0.1227331907331211,0.0550597771830273,2.0380705910128323,2.083210863896128,2.4159137783010487,0.2904135338345864,2020-09-18,52716,53166,50965,52135,2640487,0.1249811190471053,50754.10856074028,46374.42983633833,2944.364737393036,2233.2559013968503,69.61230896910293,53963.45664777269,36574.54335222731
2020-09-21,2066,410929.0,7262.0,410929.0,7298.0,0.7188838272288463,1.2869811426156097,0.8534477422073317,1.2832927502723248,2.0242643223858474,1.3198216034024886,1.094781987726225,1.518847490670173,1.1039508114173586,0.2918683446272991,2020-09-21,53794,60079,53390,54021,8174624,0.1056962154860101,51843.07237382686,47102.67461382992,3180.3536586584305,2422.6754528491665,72.56071920492613,55162.65553812457,36691.14446187543
2020-09-22,1271,234707.0,4233.0,234707.0,4269.0,0.1890066274591788,0.6516226921576215,0.3906268819419007,1.333076262864295,1.225838931861894,2.1171213497970185,-0.375899545642043,0.2745724715226585,-0.3351225569651973,0.2462627852084972,2020-09-22,53435,54917,49349,49621,3262863,0.0036407030602132,51102.38158255124,47342.515126798506,2978.004766103877,2533.7413155001086,58.33919060227491,55427.51554447113,37302.08445552888
2020-09-23,1358,238236.0,3737.0,238236.0,3773.0,0.0384704783550327,0.3502964806911199,0.2439776382170518,1.0607544370754736,1.070905341192453,1.775688999195446,0.3342098168806289,0.5125056276979788,0.5712815067513852,0.2297496318114874,2020-09-23,50517,50696,46654,47285,3057545,-0.0631810437056702,49829.92105503417,47337.03749567484,2599.1843543747527,2546.829923275038,52.46048335401744,55293.692903388655,38181.30709661135
2020-09-24,1340,226375.0,2400.0,226375.0,2436.0,0.2960052206146652,-0.2290374780029876,1.322689111165318,-0.0118303520095754,-0.4313984901346689,0.5108256237659907,0.4635810075078708,0.2719337154836417,0.7935449068756425,0.2574626865671642,2020-09-24,45847,46971,44455,44771,2597937,-0.1478682908260372,48143.61403668945,47092.65297227724,2072.2203924288697,2451.9080171058044,46.974429499066446,54948.60325883061,39056.3967411694
2020-09-25,878,168754.0,3262.0,168754.0,3298.0,-0.1382143731444272,0.047184419501321,0.771293434033384,-0.1309057886739034,0.2591855741349211,0.0502148687842612,0.976756666340166,1.3453025811352888,1.850392908477912,0.3143507972665148,2020-09-25,45576,46069,44004,44141,1480263,-0.1533326939675842,46809.40935779297,46811.5431653937,1585.4854320162412,2278.623500087892,45.685104622314334,54573.6031144991,39871.3968855009
2020-09-28,500,128133.0,1369.0,128133.0,1405.0,-0.620192992035114,-0.9878331381964642,-0.9991602096964496,-0.5817225136800813,-0.6375366575053445,-0.7551825714793979,-0.422261386934201,-0.5148034667722234,-0.7001227942963705,0.34,2020-09-28,44589,46789,44500,46522,1366946,-0.1388163862201736,46713.60623852865,46783.96762583239,1376.0094894477588,2098.1006979598656,51.14306745315817,53922.15060399828,41277.24939600172
2020-09-29,612,123890.0,1390.0,123890.0,1426.0,-0.60279884107593,-0.5354840278555464,-0.7836926104326309,-0.3067936204612647,-0.7645215058585341,0.5389965007326869,-0.2517340673974292,-0.3610133455373305,-0.1804134193743254,0.3398692810457516,2020-09-29,47866,48541,45622,46567,1235306,-0.0615465226416235,46664.73749235243,46763.30404241978,1199.7988849915564,1918.440335366204,51.242788834307376,53367.04657524412,42434.153424755874
2020-10-05,444,110754.0,1016.0,110754.0,1052.0,0.7834587684727947,0.110443118721292,1.275542996827188,-0.4211305075208965,-1.142623109821889,-0.6818220312028918,-0.5520362961948002,-0.883437535686968,-0.6316071624186308,0.2725225225225225,2020-10-05,45578,46026,45083,45579,1145272,-0.0360790948503754,46302.82499490162,46650.51318123695,969.2544070273944,1728.6031496984422,48.88364311428576,53294.78638311376,42627.71361688624
2020-10-06,1221,276052.0,3145.0,276052.0,3181.0,1.7031608836814114,1.085805616680334,2.362493345747455,1.7271172592348374,1.2714847591691347,2.1657830515014003,0.3210526308153421,0.4565764173683608,0.3275035666384525,0.2841932841932842,2020-10-06,47149,47284,44409,44995,1425422,0.0050032387036251,45866.88332993442,46492.84525921439,730.9958626734006,1529.081692293434,47.49182820757116,53325.15302274079,42534.44697725921
2020-10-07,603,118493.0,1445.0,118493.0,1481.0,1.0963025852051604,0.8390046379140812,2.0452083700375936,1.0082729253226363,0.9996870196045547,1.622793703615656,-0.4944774131615137,-0.4070393803325417,-0.355015192520368,0.3283582089552239,2020-10-07,44007,45308,44007,44771,1035297,0.0142724451190503,45501.58888662295,46328.85999643207,518.1266799154473,1326.8906898178368,46.939777714568535,53344.18971933229,42484.01028066771
2020-10-08,785,129965.0,1186.0,129965.0,1222.0,1.03182089224147,0.7608549300755305,2.223032461292092,0.0141963964694135,-0.1395484420363055,0.4510756193602167,-0.5675261172106677,-0.7770850995416501,-0.3041069521191812,0.2828025477707006,2020-10-08,44814,45083,43601,43917,1617691,-0.055995013112076,44973.39259108197,46099.15904439092,277.31889650205267,1116.97633115468,44.80158038072776,53325.31231169495,41986.48768830505
2020-10-12,412,94818.0,1208.0,94818.0,1244.0,-0.222894622445403,-0.174385540968674,-0.3808938473776591,0.8734079627597574,0.6646190969454072,1.6643145226599347,-0.9063786630660954,-1.2330476134588373,-1.1265359218399276,0.2524271844660194,2020-10-12,44006,44319,43197,44007,792237,-0.0549745527948977,44651.26172738798,45899.905802067966,92.67098759979854,912.1152624437038,45.08547899775779,53393.26316436566,41626.63683563434
2020-10-13,1033,182110.0,2587.0,182110.0,2623.0,0.3373457166704866,0.7638298401353332,0.27453875133723,1.3691666089119563,1.5246847702108637,2.497571212629322,-0.2686508788952138,-0.3635517400974367,-0.2735458389990029,0.2555663117134559,2020-10-13,44004,44363,42163,42614,1606435,-0.0650518879308453,43972.17448492532,45586.96239234721,-164.17476424782944,696.8572571053973,41.52551994538505,53542.15954277464,41024.04045722536
